NEUT0|"""APOP select biotechnology."
BULL554|Says U.S. central Bank will support recovery until job is done.
BULL555|Unemployment says the animal to an employment rate closer to 10% says inflation moving up this year to return to 2% or perhaps somewhat above an 2022-2023 Kavita says expected inflation path entirely consistent with feds with feds framework.
NEUT556|That's from feds clarita.
NEUT557|Light.
BULL558|XPEVX Pang XPE Victor says success rate for Lane changing and overtaking has been between 86.05 and 97.91% during a six day.
NEUT559|At Secretary PE Victor X Pang.
BULL560|Company announcing new records for autonomous driving.
NEUT561|That's XP EV.
BULL562|Shares picking a bit higher 3181 now on XP EBT access frequency of human driver intervention was .65 times per 100 kilometers was under one time for 100 kilometers in five or six days X from 19th to the 24th of March.
NEUT563|That's XPE Victor.
NEUT564|PRQR CGI X. VNET.
NEUT565|Rail.
NEUT566|Rail.
NEUT567|Rail.
NEUT568|Rail rail.
NEUT569|CGI X. CGI X.
NEUT570|See gix.
NEUT571|PRQ are.
NEUT572|Rail.
NEUT573|Rail.
NEUT574|PRQR rail rail.
NEUT575|Rail.
NEUT576|Rail rail rail.
NEUT577|Leap Therapeutics ticker.
NEUT578|LPTX shares quiet, relatively quiet here.
BULL579|World Intellectual Property Office IPO portal patent for the company's use of DKK one inhibitors for treating cancer.
NEUT580|That's Leap Therapeutics ticker LPTX PRQR.
NEUT581|Rail rail.
NEUT582|An M. Rail rail rail.
NEUT583|PRQR cricket ticker CRCT an IPO for today seen indication at $16.00 per share.
NEUT584|Cricket pricing.
NEUT585|At $20 per share that sticker CRCT.
BULL586|PRQR seen some comments from Fed Vice Chair Richard Clarida Clarita, saying he sees the rise in yields since last summer as reflecting of optimism about the economic recovery about vaccines and fiscal support and the Fed's ability to get inflation to 2%.
NEUT587|Seen those comments by Reuters.
NEUT588|Coming up in about 15 seconds here, EIA will be giving its weekly reading on natural gas inventories.
NEUT589|EA reporting natural gas inventories.
BEAR590|A draw of 36 billion cubic feet for last week.
BEAR591|Economists had been expecting a drop of 25 billion cubic feet.
BULL592|Natural gas moving higher here following that data point, looking at the UNGETFUNG ETF now up, about 1.5% for the session.
BULL593|Up about $0.20 over the last minute here.
BULL594|PRQR fed vice chair clarida, saying he expects a globally synchronized recovery in 2021.
BEAR595|PRQR PRQR fed vice chair clear, saying he disagrees that fiscal support this year poses long term upward risks to inflation.
NEUT596|AEHL 'cause?
BEAR597|AMC shares market in new session high just over the 10:40 level in stock up about 15% that sticker AMC.
NEUT598|VNET.
BULL599|CoreLogic Sticker CLGX Company announcing that CRMLS has selected the company to provide real estate professionals with multiple listing platform.
NEUT600|An interactive home buying portal that sticker proudly LGX.
BULL601|GameStop ticker GME shares also marking a new session high here.
BULL602|Now up about 21% sack last trading around the 1:45 level, that's ticker GME.
NEUT603|Rail.
NEUT604|Rail.
NEUT605|Rail rail.
NEUT606|Rail rail.
BEAR607|Freightcar America had sticker RAIL shares halted on a circuit breaker up about 40%.
NEUT608|The stock halted at 5:43 that's ticker RAIL.
NEUT609|USDPUSDPUSDP USD PUSDPUSDPUSDP.
BULL610|Usdp Biogen ticker BIIB shares spiking about $4 higher here over the last minute or two big spike in volume shares now up 2%.
NEUT611|That's ticker BIIB USDP.
NEUT612|USD PUSDPUSDPUSDP.
BEAR613|PRQR stacks marking new session lows here.
BEAR614|S&P 500 futures falling to the 3850 level S&P 500 futures down about 8 tenths of a percent at last check.
BEAR615|S&P 500 futures now breaking below the 3850 level new session Low 3849.
NEUT616|William Penn Bank corporate sicker WMPN IPO for this morning opening at 1170 after pricing at $10, that sticker WMPN.
NEUT617|Live X Live ticker Li Victor X Ray.
BULL618|Company out with a press release announcing a partnership with Lomotif as its global social media marketing partner.
NEUT619|That sticker elivie X.
NEUT620|'cause?
BULL621|Car sticker KO Sandy Sandy shares market in new session.
BULL622|High up about 48%.
NEUT623|That sticker KO Sandy Sandy?
NEUT624|'cause?
BULL625|Stacks rebounding from session lows.
BEAR626|S&P 500 futures low at 3843 and a quarter.
BULL627|We've rebounded about eight points back over that 3850 level.
NEUT628|Last trade in S&P 500 futures 3851.
NEUT629|Keysight Technologies ticker KEY Sandy announcing Keysight solutions.
NEUT630|Diploid by Mediatek to validate 1st 5G modem.
NEUT631|With MM wave millimeter wave spectrum capabilities, that sticker KEY Sandy.
NEUT632|Cost.
NEUT633|GNPK GNPK my Lou.
NEUT634|CIO CIO CIO.
BULL635|S&P 500 futures moving back over the 3850 level, seen a report on CNBC that U.S. President Joe Biden will announce new Covid vaccine goal of 200,000,000 chats within his first 100 days.
NEUT636|Boston Scientific ticker Bravo, Sandy X-ray coming out with the press release highlighting data from the target study of its therasphere why 90 glass microspheres?
BULL637|Companies saying that the candidate demonstrated improved survival in primary liver cancer that sticker Bravo Sandy X-ray.
NEUT638|MSD acquisition the ticker.
NEUT639|Mike Sandy DAU shares opening for trade.
NEUT640|I at 985 after IPO, priced at $10 per unit.
NEUT641|That ticker again is MSD AU.
NEUT642|AHL.
NEUT643|Reuters headline saying Suez Canal Authority says it has discussed an option.
BEAR644|Of dredging around the stranded ship in the Suez Canal.
NEUT645|Age.
NEUT646|Age.
NEUT647|Age.
NEUT648|Age.
NEUT649|Edge edge HH.
NEUT650|Prothena ticker PRTA a form for filing from Echo R1 Capital over the last few minutes showing purchase of 800 and 75,000 shares.
NEUT651|In Prothena at 2075, that's ticker PRTA.
BULL652|GameStop ticker GME shares at new session high over the 160 level, stacked up about 34% for the session that sticker GME?
NEUT653|Jimmy.
NEUT654|Jimmy.
BEAR655|S&P 500 futures seen little pop here over the last few minutes, rebounding off the 3850 level.
BEAR656|Still down around 1/2 a percent in the S&P 500 features.
NEUT657|BA, Boeing, BA, Boeing, Boeing.
NEUT658|787 deliveries within five months drought set to deliver two to three Dreamliners in March.
NEUT659|Boeing may restart 7.
NEUT660|87 Dreamliner deliveries Friday according to sources.
NEUT661|That's BA Boeing.
BEAR662|Crude off the lower crude is off the lows.
BEAR663|Now 5811 after report earlier that an Israeli ship, Lori was hit by an Iranian missile and suffered damage.
BEAR664|BA, Boeing now seeing some heavy call activity an Boeing BA.
NEUT665|Boeing shares popping here $240.24.
NEUT666|BA Boeing.
BULL667|CNN says study shows covid vaccines effective in pregnant women.
NEUT668|TRCT CRCT share is opening now.
NEUT669|Priced at $20 in the opening at $15.80.
NEUT670|That CRCT circuit shares opening now at $15.80.
BEAR671|Your QRPRQR shares currently halted at 672 off the.
BEAR672|Correction 872 off the highs.
BULL673|Up 53% now PR.
BULL674|QR RQR LH CGC group announcing in transformation a partnership with UL, Lafayette Nursing and Allied Health Program that's LHCG.
NEUT675|PRQR PRQR PRQR resuming trade PRQR.
BULL676|Shares hitting $9.10 at the high on PRQR.
BULL677|See RSA Livox announcing platform update to leverage data insights and collaborations that deliver enhanced customer an agent experience.
BEAR678|CR Sandy Alpha Envy X Nova VAX is delaying signing a contract to supply its COVID-19 vaccine to the EU and mid production problems says it's facing shortages of raw materials.
NEUT679|Snow vaccine talks with EU as it continues.
BULL680|At the talks with the EU continue as it works to submit application in Q2 for vaccine approval.
NEUT681|That's envy X Nova vexed, November Victor AX.
BULL682|There's another back sticking lower 192 thirty nine NBA X. PRQRPRQR New York you are hitting new highs now PRQR944 up 63% PR QR.
BULL683|Egypt Sumed pipeline operator asked oil traders to book crude for transit through their system.
NEUT684|As Suez, Suez Crisis drags that from several Reuters sources.
BULL685|FCEL Sandy EEL shares popping to the highest for dollars.
BULL686|Thirty cents, now at 12% on SEEL.
NEUT687|Fed's Bostic says Holistic view of maximum employment should include dispirit impact, the pandemic and women of people of color.
NEUT688|Atlanta Fed's Bostic says unambiguously no need to remove policy accommodation soon.
NEUT689|Says not concerned about inflation trends at this point, given how the pandemic caused havoc and some prices that go into measurement of inflation.
NEUT690|Coming jumping inflation will be big, but not especially meaningful.
NEUT691|Search fed jobs.
NEUT692|Go at least many months away.
NEUT693|That's from the.
NEUT694|Atlanta, feds bostic.
BEAR695|Happy Wood says a lot of value stocks are in harm's way that from Bloomberg.
BULL696|Letter ENI signs with Sonatrach series of agreements and upstream research and development and decarbonization sectors.
NEUT697|That's letter E. RUN Sun Run April 2060.
BULL698|Dollar Call sweep near the ask.
NEUT699|RUN early at 5306 or UN.
NEUT700|TSLA&PP electric tweeting.
NEUT701|15 Tesla semi electric trucks are expected to be delivered to PepsiCo this year.
NEUT702|That's TLA and EP.
NEUT703|Fox Sports and New York Racing Association announce landmark wagering and media rights agreements.
NEUT704|That's FOXA VZIO, indicating 1550 or 1650.
NEUT705|Victor ZIO Visio.
BULL706|OLK indicating 28DS EY in the Kenny $13.10 elvex.
NEUT707|Indicating $10.36, SMR indicating $10.50 to $11.00 does IPO schedule.
BULL708|Maybe empty Walmart shares getting a small pop here getting some positive mentioned on CNBC.
NEUT709|EE IQ Elite Education international opening at $4 price at $8.00.
NEUT710|That's EEIQ.
BULL711|Shares of Boeing BA now near the intraday high two 4464.
NEUT712|BA.
NEUT713|Report that Boeing, which is poised to resume 787.
NEUT714|Deliveries as soon as this week from Bloomberg.
NEUT715|Earlier BA Boeing.
NEUT716|DSEY diversity shares opening at 1350, priced at $15.
NEUT717|That's Delta San Diego Yankee DSEY Pfe Pfizer says launched a trial of COVID-19 vaccine in children younger than 12.
NEUT718|Children vaccination.
NEUT719|Pfizer says hopes vaccination and children under 12 can begin in early 2022.
NEUT720|That's PFI.
BULL721|EGLY Digital Ally getting a popular company Twitted.
NEUT722|Critical.
BULL723|Funding is on its way.
BULL724|Shield Health Protection product has been doing its part in providing most responsible, safe and effective products.
NEUT725|Availment getting us back to school, work and play that's TGLY.
NEUT726|Sea Mar, San Diego Marco Romeo.
NEUT727|Sam Rush opening at 11:50 priced at $14.00.
BEAR728|Bostic Fed's Bostic says the impact of the Suez Canal blockage does raise issue of choke points in the supply chain.
BEAR729|Hopes it's a temporary blip.
NEUT730|Feds Bostic says Bitcoin take up is not so large.
BEAR731|Is not so large, it is a threat to existing currencies.
BEAR732|It's not so large that it's a threat to existing color currencies.
NEUT733|That's from the feds plastic.
NEUT734|Bostik says none in a rush to establish a central bank digital currency must better on.
NEUT735|Understand the implications.
NEUT736|Thanks.
NEUT737|Thanks.
NEUT738|FNG has been mentioned previously as a.
NEUT739|An FT play getting another pop here $2.25 rocks Rd Eng.
NEUT740|Company reportedly updated their website.
NEUT741|Thing.
NEUT742|Company and slides on their website mentioning NFT.
NEUT743|PHUN phunware trade is circulating a video.
NEUT744|New CEO video from Phunware posting.
NEUT745|Dated today.
NEUT746|What a fun where is location software powers in new area of smart spaces?
NEUT747|It's PHUN that being circulated now.
NEUT748|Here's a fun.
NEUT749|We're getting a pop here now.
NEUT750|Hun.
NEUT751|Thanks.
NEUT752|Thing.
NEUT753|Sing STPK plus.
NEUT754|LVTXLVTX lava therapeutic shares opening at $12.00.
NEUT755|Priced at $15.
NEUT756|Lima, Victor, TX.
NEUT757|GCC.
NEUT758|Vizio Vizio share is opening at $17.50 priced at $21.
NEUT759|That's Victor ZIO.
NEUT760|GNPK ASEAN Astra Zeneca, University of Oxford, says to study nasal administration of COVID-19 vaccine.
BEAR761|That's awful in November.
NEUT762|GNPK France's health minister says.
BEAR763|Three other Department regions will be put under lockdown.
NEUT764|OLKO Link share is opening at.
NEUT765|$30.10 priced at $20 per share.
NEUT766|That's OLK LK.
NEUT767|APL Apollo set away $6 billion sale of McGraw Hill.
NEUT768|That's APO apeo Apollo.
NEUT769|That from Bloomberg.
NEUT770|President Biden, now speaking his first news conference coming and coming up now.
BULL771|FLL full house resorts getting a pop here to the high, now $7.50 up 11%.
NEUT772|After the company pricing their offering.
NEUT773|At 665 per share.
BULL774|Fed 7 says Economic Outlook is substantial.
BULL775|Is looking substantially better.
NEUT776|ASEAN AstraZeneca Telegraph.
BULL777|UK Telegraph says AstraZeneca may raise vaccine prices.
BEAR778|After EU attacks.
NEUT779|Warrants Oxford Sir John Bell.
NEUT780|Net from.
NEUT781|The finance that's from the UK Telegraph.
NEUT782|That's AZN acna.
BULL783|TMON PFI Thermo Fisher says will work with Pfizer Biontech to produce COVID-19 vaccine in Italy that's TFMOPFE&BNTX Ed 7 says need to increase inflation to live up to feds 2% objective.
NEUT784|S&P futures.
BULL785|Near the highs 3888 fifty.
BEAR786|Fed's Evans says inflation is low and lower than we would like.
NEUT787|Fed's Evans says 2 1/2 percent inflation would not be extraordinary, says there is a range of inflation outcomes that are consistent with the Fed's gold.
BULL788|GNPK GNPK GNPK MARK remark, getting a spike in volume.
NEUT789|Remark Holdings tweeting.
BULL790|Lois Cowboys designated as Worlds first sharecare health security verified destination.
NEUT791|That's Michael Ark.
BULL792|MARK Remark shares getting volume on that.
NEUT793|Now it's Michael Ark.
BULL794|Sing PNG Phoenix new Media getting another pop here to the highest $2.80.
NEUT795|Viniti VNET.
NEUT796|SYBX in logic.
NEUT797|Getting a pop here.
NEUT798|Sandy YBX SYBX.
NEUT799|Synlogic reported their earnings.
BULL800|A smaller loss than expected earlier.
BULL801|Today Anne shares now getting a pop here.
BULL802|$4.22 Wibx hit a high $5.40.
NEUT803|That was actually yesterday.
NEUT804|An now at $4.18 on Volume S Wibx.
NEUT805|Thanks.
NEUT806|Ysv X.
NEUT807|A C&D.
BEAR808|SYBX and logic halted on a circuit breaker, now $4.52 SYBX.
NEUT809|President Biden says Republicans will have to decide whether they want to work together or divide the country.
NEUT810|KILLJ Jill saying some.
NEUT811|It's relatively small volume coming in now, Jill.
BULL812|SYBX Leerink, raising the price target to a new street.
BULL813|High $15 Sandy YBX.
BEAR814|Says phase one for 8802 and H vis is overly simplified and presents a buying opportunity.
NEUT815|That's Andy YBX.
BEAR816|SYBX shares halted on a circuit breaker.
BULL817|Evan says Will will see some transitory price increases this year, but by 2022 will still struggle to get to 2%.
BULL818|Once inflation is at 2% and entr'acte overshoot Ficken slowly raise interest rates.
NEUT819|Says suspect it will be 2020, 2024 before raise interest rates.
BEAR820|President Biden says the vast majority of immigrants coming to the US border are being sent back.
BULL821|GNPK S Ybx resuming trade.
BEAR822|After a circuit breaker halts SYBX.
NEUT823|GNPK 495 now on S Ybx getting that.
NEUT824|$15 price target at Leerink.
BULL825|Sandy YBX majority of the US Senate votes to approve.
BULL826|Two month extension of small Business Paycheck protection program.
NEUT827|Voting continues.
NEUT828|ZKINZK international.
NEUT829|Subsidiary X Sigma score security.
NEUT830|An industry leader CEO for its X Sigma Test trading division.
NEUT831|Getting ready to launch.
NEUT832|To crypto crypto driven see FD's trading platform that ZKIN Z kin.
BULL833|Shares of Decanter national getting a pop here $10.84.
BEAR834|0KIN and already halted on a circuit breaker.
NEUT835|Z kin 2.
NEUT836|Two CMA CGM group vessels are currently waiting to enter the Suez Canal for the time being.
NEUT837|The group is not considering re routing ships.
BEAR838|SUMR ZK Inz Canton National shares still halted.
BEAR839|Shares were halted following a press release.
NEUT840|From the company.
NEUT841|Mentioning their subsidiary.
NEUT842|Having a new CEO.
NEUT843|That's kin.
NEUT844|ORPH offers I'm ORPH out of a press release.
NEUT845|Company announcing resolutions passed at Annual General meeting or pH.
NEUT846|EKIN resuming trade.
BULL847|Is he can to national continued to spike here near $13.00 now.
NEUT848|IZEA announcing Twitter spaces, support and shake in the ZEA icea.
BULL849|Shares of IZEA getting a spike in volume on that press release Icea Isea.
NEUT850|LNG and CNQUS.
BULL851|FERC approved Generics request to put Corpus Christi.
NEUT852|Three LNG export, train and service.
NEUT853|That's LNG&C&Q.
BULL854|RCMTRCM technologies getting small amount of volume here moving higher RC Michael Tango.
NEUT855|Biden says he would fully expect Harris to be his running mate in 2024.
NEUT856|Says his plan is to run for reelection.
BEAR857|Quinn a C&DAC&D Biden said he made clear to China she US is not looking for confrontations as US needs to step up investment in order to compete with China.
NEUT858|Says China is out investing US by a long shot.
BEAR859|RCMT, now spiking to the highs.
BULL860|$3.92 on some volume Now RC Michael Tango.
NEUT861|DKNG DraftKings, Canada's House of Commons, approves Committee, approves amendments to single gaming wagering bill.
NEUT862|Canadian Justice Committee approves amendments as single gaming when wagering bill dropped from consideration back in February.
BULL863|CSF base says we think this is another win for a bill that feels like it has a lot of momentum.
NEUT864|That's Delta kill.
BULL865|Dekhan G that would be positive for draft Kings.
BULL866|Cheers of draft Kings getting a pop here.
NEUT867|6430 Delta KNG Biden, Biden says successful gun control measures are a matter of timing.
BULL868|XPEVX Pang may $40 core sweep on XPE Victor.
NEUT869|2900 contracts on that XPE.
NEUT870|Victor X pang.
NEUT871|FIS V5 serve.
NEUT872|Acquires pineapple payments FI.
NEUT873|Sandy Victor.
BULL874|Anti C spiking to the highs $4.44.
NEUT875|November TEC.
BEAR876|PRQR Pro QWR shares moving lower on some volume.
NEUT877|Now BPRKR PRQR Pro QR therapeutics.
BEAR878|Crude futures settled at 5856 down $2.62.
BULL879|S&P futures getting a pop here.
NEUT880|3884 RCON XPEVX pinx PV may $40 calls active now 2700 contracts.
NEUT881|On that currently at 3285 X XPE Victor XP EV.
BULL882|Coming up after the close earnings from BLNK blink charging.
NEUT883|BIOL BIOLASE Peo XL box lights go DX code diagnostics HT GM HTG molecular diagnostics nby Nova Bay pH one fun where SAIC.
NEUT884|Science applications an why why joy reporting after the close?
BEAR885|RCN halted on a circuit breaker.
BULL886|RCON getting a pop here 628.
BEAR887|LTBR LTBR halted at 7:43 on a circuit breaker LTR.
BULL888|Lightbridge awarded second U.S. Department of Energy gain voucher for advanced nuclear technology innovation.
NEUT889|That's LTBR.
NEUT890|Little value of the project.
NEUT891|About 600 sixty $4000 with 3/4 of the amount funded by DoD.
BEAR892|Project anticipated to commence in the first half of this year, that's LTB are halted on a circuit breaker.
BULL893|S&P futures getting a pop here again now 3890.
BULL894|HPR High Point Resources shows continuing to edge up here.
BEAR895|$9.47 down about 12% now.
NEUT896|That's how I tell PR HPR.
BULL897|ICO in RCON shares resumed trading, now 636 up about 15% Romeo CON RCON.
NEUT898|LTBR LTBR LTR.
BULL899|El TBR Lightbridge resumes trading on heavy volume, now $8.72.
NEUT900|After resuming after a circuit breaker halt.
NEUT901|That's LTBR.
NEUT902|S&P futures 3895.
NEUT903|Fifty at the highs now.
NEUT904|AILTBR LTVR way way.
NEUT905|EB BG Everbridge one April 1:30 call sweeper echo Victor Bravo Golf E VBG.
NEUT906|Ciol biolase ahead of earnings.
BULL907|Hitting the high now $0.98 up about 8%.
NEUT908|Bravo IOL.
NEUT909|HFV Hall of Fame Resort shares getting a pop here Co CEO to appear on Benson's YouTube channel for an interview around 4:15 PM Eastern Time in about one hour.
NEUT910|That's HOF Victor.
BULL911|Coming up, coming up after the close earnings from BLNK Blink Charging View, Excel Box Light Bio L BIOLASE.
NEUT912|CODX code diagnostics HT GM HTG molecular research nby Nova Bay pharma pH UN fun where SAIC Science applications Inc. An why why joy reporting after the close?
BULL913|HF VHF, a Hall of Fame resort, shares getting a pop.
NEUT914|Here again, 562 again in the CEO coming up on Benzinga at.
NEUT915|4:15 PM Eastern Time HFV.
BULL916|Shares of Boeing near the intraday high now BA Boeing two 4661.
NEUT917|Market on close market on closed 900,000,000 on the buy side.
BEAR918|IIQI key dropping to the lows of the day.
NEUT919|Now in the Quebec seeing the June.
NEUT920|$30 call sweep.
NEUT921|An IKEA anbia Quebec.
NEUT922|REKR Records systems Aug 35.
NEUT923|Call activity now at.
NEUT924|1000 contracts on that.
NEUT925|That's REKR REKR.
NEUT926|Market on closed 1.7 billion on the buy side.
BEAR927|S&P Futures 39 oh 425 at the high.
NEUT928|Fed.
BULL929|It's barking on an interview on Fox Business says we'll see inflation spike this year an return to normal next year.
BULL930|PRQR NBIS MB IS Microvision received a decision to grant European patent devices and methods for providing depth mapping with scanning laser image projection.
NEUT931|That's MVS, Michael, Victor, India, Sandy MBS.
NEUT932|Hang up.
NEUT933|I can volume in Microvision MVIS.
NEUT934|Den.
NEUT935|I CPT.
NEUT936|PFE, Pfizer, Joint FDA advisory committee votes on application for tanezumab for the treatment of osteoarthritis pain.
NEUT937|Says there was a single voting question on whether the proposed risk evaluation and mitigation strategy for the demeza map.
NEUT938|Vanessa Mabb will ensure its benefits outweigh its risk in the committee.
NEUT939|Voted one in favor.
NEUT940|19 against.
NEUT941|I see PTSD Pfizer.
NEUT942|Market on closed 3.6 billion on the buy side now.
NEUT943|I CPT.
NEUT944|I CPT.
NEUT945|I CPT.
NEUT946|I CPT.
NEUT947|An MVC.
NEUT948|SRS any Sorento therapeutics Andy RNE?
NEUT949|When to announce updated positive results of Phase 1B.
NEUT950|Study of Cova Kovi, MSC for treatment of ICU COVID-19 patients that Sandy RNE.
NEUT951|Parenteau.
NEUT952|Less than one minute till the US market closed.
BEAR953|Says all 99 patients with acute respiratory failure due to cover 19 just discharged from hospital within days after third.
NEUT954|Kovi, MSC Infusion SSR any Sorento?
NEUT955|Preparations on going for initiating phase two blue seabaugh controlled study for Sorento SRNE.
NEUT956|I CPT.
BEAR957|N NBC now know various cities halted just before the close on a circuit breaker.
NEUT958|An NBC.
NEUT959|An MVC.
NEUT960|I am MP.
NEUT961|Play.
NEUT962|An LTX near newer looking, Neo looking therapeutics announcing their results.
NEUT963|An LTM MP.
NEUT964|I am MPIMMP.
NEUT965|Cash and cash equivalents of 192.6 million expected to fund operations in 2023.
NEUT966|At an Elks LKS alchemies apop.
BEAR967|Alchemy is to take part in this team's third annual SNSD BLNK Blink charging reporting loss of $0.24.
NEUT968|Revenue point 5,000,000.
NEUT969|Are you seeing maybe?
BEAR970|BLNK blink you are the expectation was for a loss of 12 PRQ R12 cents or wireless connected QoS.
NEUT971|Keep your PR PR, PR, PR, PR, PR PR PR PR QoS.
NEUT972|CRP RTRP RPRPRPRPRPRPREODX CODX.
NEUT973|Oh, diagnostics reporting.
NEUT974|Revenue of 27.1 million?
BULL975|That's ahead of estimate for seodi X through the ODX.
NEUT976|AGI O Agios poured directly through purchase of up to $1.2 billion of its.
BULL977|Outstanding shares Kik you.
NEUT978|Company approving sale.
NEUT979|Of its oncology business to survey.
NEUT980|HWC AGOATHA ATHA.
BEAR981|A Thera farmer reporting a loss of $0.24.
BULL982|That's better than the 40 cent loss that was expected for a tha.
NEUT983|KIQSCILD ghillie add GILD ghillie eggs, TNX, TNX said CMA validates marking authorization application for sect is amab TNX.
NEUT984|Go Vatican HCI Y for the treatment of metastatic triple negative breast cancer.
NEUT985|Supplemental PLA, currently under review by the FDA for full marketing approval.
NEUT986|That's GLD, GILD, HGM HTG molecular research.
NEUT987|LTV are out there.
NEUT988|Full year results.
NEUT989|Hotel Tango golf Michael.
NEUT990|Company reporting total revenue for the year of eight and a half million.
BULL991|Versus 19.2 million for the prior Europe.
NEUT992|Full Europe.
NEUT993|That's HT GM, HT, golf, Michael.
BULL994|SDMT 4D Molecular Therapeutics expects cash and cash equivalents to be sufficient to fund operations in the 2023.
NEUT995|That's FD, Michael tango.
NEUT996|I am MP.
NEUT997|I am MP.
BEAR998|NK TX Nakata reporting a loss of $0.55.
BEAR999|The estimate was a loss of $0.44 or wireless.
NEUT1000|Then expected for NKTX.
NEUT1001|I am MPIMMP.
NEUT1002|BOXL Box Light reporting a penny BOXL.
NEUT1003|Revenue, 31.9 million for boxlight for boxlight.
BEAR1004|The estimate was a loss of $0.11.
BULL1005|So that's a bait for Boxlight BOXLBIOL BIOLASE the loss of $0.07 that's wider than the loss of $0.04.
NEUT1006|For Bio El Bravo in the OL.
NEUT1007|Revenue of eight and a half million for BIOLASE.
BEAR1008|He is above the 8.3 million estimate, sees Q1 revenue of seven and a half to $8 million.
NEUT1009|That's BIOL biolase.
NEUT1010|PH1 fun wear out with their results proper Hun fun where.
NEUT1011|Find where reporting.
NEUT1012|Net revenues for the year totaling $10 million.
BEAR1013|Net loss of $0.50.
BEAR1014|Nine gap loss of $8.4 million non gap adjusted April loss was $8.4 million.
NEUT1015|Can I get for fun where PHUN Q. Hty Higher Quest reporting $0.10 Hotel Qi.
NEUT1016|On revenue of 54.8 million.
NEUT1017|That's HQI hotel Qi.
NEUT1018|Vivo S Vivos Therapeutics, Victor Victor.
NEUT1019|Oscar Sandy reporting revenue of 3.3 million.
BULL1020|That's versus 3.1 million year over year for Victor Victor Oscar Sandy.
BULL1021|EYEN EYEN I know via reporting a loss of $0.17 that's better than the 21 cent loss that was expected.
BULL1022|Revenue of 2,000,000 versus the zero estimate for EYEN EYEN.
NEUT1023|A DNA Alpha Delta.
BEAR1024|Michael Alpha ADMA Biologics reporting a loss of $0.20 that wider than the 16 cent loss Thous expected for Alpha Delta Michael Alpha revenue of one of.
BULL1025|14 million versus the estimate of 12.9 million for a DMA Alpha Delta.
NEUT1026|Michael Alpha RLAY Relay Therapeutics, RLAY Relay Therapeutics, reporting Cash Cash equivalents and marketable securities expected to fund operations into 2024.
NEUT1027|That's RLAY.
NEUT1028|AI AI.
BULL1029|AMZN Robinhood markets working on platform to allow users to buy directly into IPO.
NEUT1030|That according to sources that's not Amazon.
NEUT1031|That's.
NEUT1032|Robin Hood F18 Fat Brands Fat brands reporting.
NEUT1033|Where are quarterly total revenues of 6.5 million?
BEAR1034|Very sad.
BULL1035|Up 24% a loss of $0.64 for Fat Brands F80.
BEAR1036|FAT nby novabay NBY Silver Bay reported a loss of $0.04.
NEUT1037|On revenue of 1.9 million.
BEAR1038|4 Cent loss was in line with expectations for Novabay revenue coming in below it below estimate for mby.
BEAR1039|EAN Gon, reporting a loss of $0.27.
BEAR1040|The estimate was a loss of $0.06 for GN GAN GN.
BULL1041|HFV Hall of Fame Resort shares getting a pop here.
NEUT1042|CEO appearing on with Benzinga now.
NEUT1043|I know You Tube channel that's HOF Victor getting a pop here $5.84 now after hours on HFV.
NEUT1044|SAIC, Sandy AIC SAIC reporting.
BEAR1045|Dollar 67 the estimate was $1.47 revenue of 1.7 billion is below the 1.8 billion estimate.
BEAR1046|So science applications international beating on earnings coming in just short on revenue that stand the AIC V UCI Vuzix announcing proposed underwritten offering of common stock.
NEUT1047|That's Victor UZ India.
NEUT1048|That's the UCI Vuzix.
NEUT1049|Tak Takeda begins regulatory submission for dengue.
BULL1050|A vaccine candidate in the EU and engage endemic countries.
NEUT1051|That's Tak.
NEUT1052|EXGN Axigen announcing closing of offering of common stock.
NEUT1053|X. XGN PR GS progress software Progress software reporting $0.95 Papa Romeo Golf Sandy PRDS.
NEUT1054|Revenue of 121.3 million for PRG S. The estimate was $0.75, so that's a beat on earnings.
NEUT1055|For progress.
BEAR1056|Revenue coming in just about in line, just slightly short on PRG GTS.
NEUT1057|Naming a new CFO Triple S Golf Tango Sandy DPS naming a new CFO?
NEUT1058|Varm Varian Medical announcing a new investment in Bend it technologies Victor Alfa Romeo BAR.
NEUT1059|OC CIOFS credit commencing an underwritten public offering of the company's common stock.
NEUT1060|That's OCCI.
NEUT1061|OCC I. TLS TLS reporting.
NEUT1062|Earnings of eight cents.
BEAR1063|The estimate was a loss of $0.10 for TL Sandy.
BULL1064|Revenue of 44.9 million is ahead of estimate for TLS tangley Miss Sandy.
NEUT1065|I am MPIMMP.
NEUT1066|I am MP, I am MP.
NEUT1067|I am MP.
NEUT1068|I am MPINIMMPIMMP.
NEUT1069|I am MP.
NEUT1070|I am MP.
NEUT1071|I am MPIIMMP.
NEUT1072|I am MP.
NEUT1073|I am MP.
BEAR1074|If we are Arbor Realty Trust shares dropping here of $15.45 seven million shares.
NEUT1075|Priced at $15.65 to $15.85 hearing on that.
NEUT1076|That's ABR, ABR.
NEUT1077|Ha ha ha.
NEUT1078|Ha ha ha ha.
NEUT1079|Ah.
NEUT1080|Ah.
NEUT1081|Ah.
NEUT1082|Ha ha ha ha ha ha.
NEUT1083|Ah.
NEUT1084|Ah.
NEUT1085|Ah, ah.
NEUT1086|Ah.
NEUT1087|Ah.
NEUT1088|Ha ha ha ha ha ha.
NEUT1089|Ah ah ah ah ah ah.
NEUT1090|Ah.
BULL1091|And I only owe shares picking higher now.
